Year,USA,Popultation,Africa,Argentina,Australia,Austria,Belgium,Belize,Bolivia,Brazil,Bulgaria,Canada,Caribbean,Chile,China,Colombia,CostaRica,Cuba,Czechoslovakia,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Ethiopia,Finland,France,Germany,Greece,Guatemala,Guyana,Haiti,Honduras,HongKong,Hungary,India,Iran,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Korea,Liberia,Mexico,Morocco,Netherlands,NewZealand,Nicaragua,Norway,NotSpecified,Other Africa,Other America,Other Asia,Other Caribbean,Other Central America,Other Europe,Other Oceania,Other South America,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russia,South Africa,Spain,Suriname,Sweden,Switzerland,Syria,Taiwan,Turkey,Uruguay,Venezuela,Vietnam,Yugoslavia
1820,1257,9981000,19,,2,,28,,,,,2297,3061,,3,,,,,173,,,,,,,7694,5753,17,,,,,,,9,,51617,,430,,,,,1,3835,,1105,,,,19173,18,1,3,3061,57,3,,405,,,,,19,252,,86,,2866,,,3148,,,19,,,,
1821,,10299000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,,10626000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,,10951000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,,11277000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,,11602000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,,11928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,,12251000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,,12581000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,,12906000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,1376,13240000,66,,1,,20,,,,,11875,11792,,8,,,,,927,,,,,,,39330,124726,49,,,,,,,38,,170672,,2225,,,,,8,7187,4,1377,,,,83495,54,6,1,11792,94,40,,957,,,,,366,896,,280,,2016,,,4430,,,8,,,,
1831,,13659000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,,14078000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,,14496000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
