country,longitude,latitude,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,Total Immigration
Africa,,,19,66,67,104,458,441,768,432,6326,8867,6362,2120,6720,13016,23780,71405,141987,346410,759734,
Argentina,-63.616672,-38.416097,,,,,7,58,64,36,,,,1397,3108,16346,49384,30303,23442,30065,47955,
Australia,133.775136,-25.274398,2,1,2,104,96,8933,7250,3098,11191,11280,8404,2260,11201,8275,14986,18708,16901,24288,32728,
Austria,14.550072,47.516231,,,,,2700,54529,204805,268218,532416,589174,31392,6678,8496,81354,17571,14239,15374,18234,21151,
Belgium,4.469936,50.503887,28,20,3996,5765,5785,6991,18738,19642,37429,32574,21511,4013,12473,18885,9647,5413,7028,7077,8157,
Belize,-88.49765,17.189877,,,,,9,26,80,25,583,40,285,193,433,1133,4185,6747,14964,12600,9682,
Bolivia,-63.588653,-16.290154,,,,,,5,,,,,,77,893,2759,6205,5635,9798,18111,21921,
Brazil,-51.92528,-14.235004,,,,,32,219,199,92,,,4627,1468,3653,11547,29238,18600,22944,50744,115404,
Bulgaria,25.48583,42.733883,,,,,,,,52,34651,27180,2824,1062,449,97,598,1011,1124,16948,40003,
Canada,-106.346771,56.130366,2297,11875,34285,64171,117975,323974,492508,2668,123067,708715,949286,162703,160911,353169,433128,179267,156313,194788,236349,
Caribbean,,,3061,11792,11803,12447,8809,14592,27600,31885,100960,120860,83482,18052,46285,115869,427843,708643,789343,1004114,1053357,
Chile,-71.542969,-35.675147,,,,,25,92,44,66,,,,568,1320,4669,12384,15032,19749,18200,19792,
China,104.195397,35.86166,3,8,32,35933,54028,133139,65797,15268,19884,20916,30648,5874,16072,8836,14060,17627,170897,342058,591711,
Colombia,-74.297333,4.570868,,,,,2,196,1210,607,,,,1278,3454,15567,68371,71265,105494,137985,236570,
CostaRica,,,,,,,2,4,1,4,,,,580,1965,4044,17975,12405,25017,17054,21571,
Cuba,-77.781167,21.521757,,,,,3420,8705,20134,23669,,,12769,10641,25976,73221,202030,256497,132552,159037,271742,
Czechoslovakia,,,,,,,,,,,,,101182,17757,8475,1624,2758,5654,5678,8970,18691,
Denmark,9.501785,56.26392,173,927,671,3227,13553,29278,85342,56671,61227,45830,34406,3470,4549,10918,9797,4405,4847,6189,6049,
Dominican Republic,-70.162651,18.735693,,,,,,,,,,,,1165,4802,10219,83552,139249,221552,359818,291492,
