country,longitude,latitude,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,Total Immigration
Africa,,,1.279,1.820,1.826,2.017,2.661,2.644,2.885,2.635,3.801,3.948,3.804,3.326,3.827,4.114,4.376,4.854,5.152,5.540,5.881,
Argentina,-63.616672,-38.416097,,,,,0.845,1.763,1.806,1.556,,,,3.145,3.492,4.213,4.694,4.481,4.370,4.478,4.681,
Australia,133.775136,-25.274398,0.301,0.000,0.301,2.017,1.982,3.951,3.860,3.491,4.049,4.052,3.924,3.354,4.049,3.918,4.176,4.272,4.228,4.385,4.515,
Austria,14.550072,47.516231,,,,,3.431,4.737,5.311,5.428,5.726,5.770,4.497,3.825,3.929,4.910,4.245,4.153,4.187,4.261,4.325,
Belgium,4.469936,50.503887,1.447,1.301,3.602,3.761,3.762,3.845,4.273,4.293,4.573,4.513,4.333,3.603,4.096,4.276,3.984,3.733,3.847,3.850,3.912,
Belize,-88.49765,17.189877,,,,,0.954,1.415,1.903,1.398,2.766,1.602,2.455,2.286,2.636,3.054,3.622,3.829,4.175,4.100,3.986,
Bolivia,-63.588653,-16.290154,,,,,,0.699,,,,,,1.886,2.951,3.441,3.793,3.751,3.991,4.258,4.341,
Brazil,-51.92528,-14.235004,,,,,1.505,2.340,2.299,1.964,,,3.665,3.167,3.563,4.062,4.466,4.270,4.361,4.705,5.062,
Bulgaria,25.48583,42.733883,,,,,,,,1.716,4.540,4.434,3.451,3.026,2.652,1.987,2.777,3.005,3.051,4.229,4.602,
Canada,-106.346771,56.130366,3.361,4.075,4.535,4.807,5.072,5.511,5.692,3.426,5.090,5.850,5.977,5.211,5.207,5.548,5.637,5.254,5.194,5.290,5.374,
Caribbean,,,3.486,4.072,4.072,4.095,3.945,4.164,4.441,4.504,5.004,5.082,4.922,4.257,4.665,5.064,5.631,5.850,5.897,6.002,6.023,
Chile,-71.542969,-35.675147,,,,,1.398,1.964,1.643,1.820,,,,2.754,3.121,3.669,4.093,4.177,4.296,4.260,4.296,
China,104.195397,35.86166,0.477,0.903,1.505,4.555,4.733,5.124,4.818,4.184,4.299,4.320,4.486,3.769,4.206,3.946,4.148,4.246,5.233,5.534,5.772,
Colombia,-74.297333,4.570868,,,,,0.301,2.292,3.083,2.783,,,,3.107,3.538,4.192,4.835,4.853,5.023,5.140,5.374,
CostaRica,,,,,,,0.301,0.602,0.000,0.602,,,,2.763,3.293,3.607,4.255,4.094,4.398,4.232,4.334,
Cuba,-77.781167,21.521757,,,,,3.534,3.940,4.304,4.374,,,4.106,4.027,4.415,4.865,5.305,5.409,5.122,5.201,5.434,
Czechoslovakia,,,,,,,,,,,,,5.005,4.249,3.928,3.211,3.441,3.752,3.754,3.953,4.272,
Denmark,9.501785,56.26392,2.238,2.967,2.827,3.509,4.132,4.467,4.931,4.753,4.787,4.661,4.537,3.540,3.658,4.038,3.991,3.644,3.685,3.792,3.782,
Dominican Republic,-70.162651,18.735693,,,,,,,,,,,,3.066,3.681,4.009,4.922,5.144,5.345,5.556,5.465,
Ecuador,-78.183406,-1.831239,,,,,,0.845,1.146,1.519,,,,2.505,3.344,3.933,4.533,4.676,4.681,4.910,5.033,
Egypt,30.802498,26.820553,,,,0.699,0.903,1.462,2.161,1.708,,,3.027,2.893,3.208,3.300,3.747,4.372,4.427,4.649,4.911,
El Salvador,-88.89653,13.794185,,,,,,0.477,,0.845,,,,2.852,3.689,3.707,4.159,4.469,5.138,5.436,5.400,
Ethiopia,40.489673,9.145,,,,,,,,,,,,1.000,1.447,2.480,2.905,3.413,4.111,4.603,4.941,
Finland,25.748151,61.92411,,,,,0.477,2.456,3.983,4.565,,,4.228,3.387,3.348,3.692,3.634,3.452,3.410,3.599,3.599,
France,2.213749,46.227638,3.886,4.595,4.877,4.913,4.556,4.857,4.683,4.552,4.831,4.781,4.739,4.139,4.568,4.700,4.672,4.432,4.517,4.563,4.659,
Germany,10.451526,51.165691,3.760,5.096,5.586,5.989,5.860,5.876,6.160,5.763,5.517,5.241,5.587,5.071,5.077,5.761,5.321,4.887,4.933,4.965,5.088,
Greece,21.824312,39.074208,1.230,1.690,1.230,1.505,1.708,2.320,3.257,4.105,5.163,5.297,4.784,4.025,3.935,4.655,4.870,5.010,4.577,4.405,4.226,
