Year,Label,Total,Population,gdp,Africa,Argentina,Australia,Austria,Belgium,Belize,Bolivia,Brazil,Bulgaria,Canada,Caribbean,Chile,China,Colombia,CostaRica,Cuba,Czechoslovakia,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Ethiopia,Finland,France,Germany,Greece,Guatemala,Guyana,Haiti,Honduras,HongKong,Hungary,India,Iran,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Korea,Liberia,Mexico,Morocco,Netherlands,NewZealand,Nicaragua,Norway,NotSpecified,Other Africa,Other America,Other Asia,Other Caribbean,Other Central America,Other Europe,Other Oceania,Other South America,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russia,South Africa,Spain,Suriname,Sweden,Switzerland,Syria,Taiwan,Turkey,Uruguay,Venezuela,Vietnam,Yugoslavia
1820,1820-1829,105155,11440200,1257,19,,2,,28,,,,,2297,3061,,3,,,,,173,,,,,,,7694,5753,17,,,,,,,9,,51617,,430,,,,,1,3835,,1105,,,,19173,18,1,3,3061,57,3,,405,,,,,19,252,,86,,2866,,,3148,,,19,,,,
1830,1830-1839,474740,15124600,1376,66,,1,,20,,,,,11875,11792,,8,,,,,927,,,,,,,39330,124726,49,,,,,,,38,,170672,,2225,,,,,8,7187,4,1377,,,,83495,54,6,1,11792,94,40,,957,,,,,366,896,,280,,2016,,,4430,,,8,,,,
1840,1840-1849,1208246,20196600,1588,67,,2,,3996,,,,,34285,11803,,32,,,,,671,,,,,,,75300,385434,17,,,,,,,33,7,656145,,1476,,,,,5,3069,1,7624,,,,7196,61,11,4,11803,297,79,1,1062,,,,,105,359,,520,,1917,,,4819,,,45,,,,
1850,1850-1859,2359581,27305600,1806,104,,104,,5765,,,,,64171,12447,,35933,,,,,3227,,,5,,,,81778,976072,32,,,,,,,42,,1029486,,8643,,,,,7,3446,,11122,2,,,71442,92,56,11,12447,512,14,4,3569,,,,,1087,4218,,423,,8803,,,24423,,,94,,,,
1860,1860-1869,1474443,35611900,2178,458,7,96,2700,5785,9,,32,,117975,8809,25,54028,2,2,3420,,13553,,,8,,,3,35938,723734,51,1,41,78,,,483,50,4,427419,,9853,61,138,,,43,1957,,8387,6,,,15472,328,80,57,5250,58,10,5,1358,,,35,,1886,4741,,1667,79,6970,,,21124,2,,129,,36,,
1870,1870-1879,2178723,44748000,2594,441,58,8933,54529,6991,26,5,219,,323974,14592,92,133139,196,4,8705,,29278,,7,29,3,,286,71901,751769,209,10,95,149,11,,5598,166,17,422264,,46296,257,193,,,52,5133,15,14267,39,1,88644,592,297,879,163,5481,147,626,122,96,,2,127,4,11016,13990,,34977,48,5571,,90179,25212,7,,382,22,190,,
1880,1880-1889,4466036,56237300,3302,768,64,7250,204805,18738,80,,199,,492508,27600,44,65797,1210,1,20134,,85342,,14,145,,,9617,48193,1445181,1807,3,68,124,4,,109982,247,18,674061,,267660,355,1583,,,21,2405,12,52715,21,1,185111,778,567,5019,888,6987,270,1070,70,78,,,25,1,42910,15189,5842,173081,23,3999,,401330,81151,140,,2478,4,248,,
1890,1890-1899,3335361,69196300,3613,432,36,3098,268218,19642,25,,92,52,2668,31885,66,15268,607,4,23669,,56671,,33,51,7,,36719,35616,579072,12732,9,27,101,4,,203350,102,26,405710,,603761,223,13998,,,9,734,9,29349,12,3,96810,14112,354,1406,4381,7892,622,145,169,305,,,79,19,107793,25874,6808,413382,9,9189,,237248,37020,,,27510,144,,,
1900,1900-1909,7056763,83433500,4630,6326,,11191,532416,37429,583,,,34651,123067,100960,,19884,,,,,61227,,,,,,,67735,328722,145402,,,,,,685567,3026,,344940,,1930475,,139712,,,,31188,,42463,,,182542,33493,6326,73,9215,100960,6758,514,486,15253,,,,605,,65154,57322,1501301,,24818,,244439,32541,,,127999,,,,
1910,1910-1919,6105229,99736800,5222,8867,,11280,589174,32574,40,,,27180,708715,120860,,20916,,,,,45830,,,,,,,60335,174227,198108,,,,,,565553,3478,,166445,,1229916,,77125,,,,185334,,46065,,,79488,488,8867,,7500,120860,15652,6527,1059,39938,,,,,,82489,13566,1106998,,53262,,112957,22839,,,160717,,,,
