Year,Policy,gdp,Total,Population
1820,"1819 - The Steerage Act requires that ship captains must submit manifests with information about immigrants onboard to the Collector of Customs, the secretary of state, and Congress.",1257,105155,11440200
1830,No major policy implemented.,1376,474740,15124600
1840,"1843 - The American Republican party is formed in New York (it later becomes known as the Native American party) by citizens opposed to the increased number of immigrants in the U.S. The nativists, or members of the Know-Nothing Movement, seek to permit only native-born Americans to run for office and try to raise the residency requirement to 25 years.",1588,1208246,20196600
1850,No major policy implemented.,1806,2359581,27305600
1860,No major policy implemented.,2178,1474443,35611900
1870,"1870 - The Naturalization Act of 1870 allows ""aliens of African nativity"" and ""persons of African descent"" to become U.S. citizens./1875 - The Page Act becomes law. It's the country's first exclusionary act, banning criminals, prostitutes, and Chinese contract laborers from entering the country.",2594,2178723,44748000
1880,"1882 - Congress passes the Immigration Act. The law imposes a $.50 tax on new arrivals and bans ""convicts (except those convicted of political offenses), lunatics, idiots and persons likely to become public charges"" from entering the U.S. The Chinese Exclusion Act of 1882 bans ""skilled and unskilled laborers and Chinese employed in mining"" from entering the country for ten years and denies Chinese immigrants the path to citizenship. Thousands of Chinese immigrants had worked on the construction of the Trans-Continental Railroad, and these workers were left unemployed when the project was complete. The high rate of unemployment and anti-Chinese sentiment led to passage of the law./1888 - Congress passes the Scott Act, which amends the Chinese Exclusion Act. It bans Chinese workers from re-entering the U.S. after they left.",3302,4466036,56237300
1890,"1891 - Immigration Act of 1891 creates the Bureau of Immigration, which falls under the Treasury Department. The act also calls for the deportation of people who entered the country illegally and denies entry for polygamists, the mentally ill, and those with contagious diseases./1892 - The Geary Act strengthens the Chinese Exclusion Act of 1882 by requiring Chinese laborers to carry a resident permit at all times. Failure to do so could result in deportation or a sentence to hard labor. It also extends for another 10 years the ban on Chinese becoming citizens. Ellis Island opens. It served as the primary immigration station of the U.S. between 1892 and 1954, processing some 12 million immigrants. By some estimates, 40% of all Americans have a relative who passed through Ellis Island.",3613,3335361,69196300
1900,"1903 - Congress passes the Anarchist Exclusion Act, which denies anarchists, other political extremists, beggars, and epileptics entry into the U.S. It's the first time individuals are banned from the U.S. based on political beliefs./1906 - The Naturalization Act of 1906 creates the Bureau of Immigration and Naturalization and places it under the jurisdiction of the Commerce Department. The act also requires immigrants to learn English before they can become citizens./1907 - The Immigration Act of 1907 broadens the categories of people banned from immigrating to the U.S. The list excludes imbeciles, feeble-minded people, those with physical or mental disabilities that prevent them from working, tuberculosis victims, children who enter the U.S. without parents, and those who committed crimes of moral turpitude. The Gentlemans Agreement between the U.S. and Japan ends the immigration of Japanese workers. Congress passes the Expatriation Act of 1907 that says women must adopt the citizenship of their husbands. Therefore, women who marry foreigners lose their U.S. citizenship unless their husbands become citizens.",4630,7056763,83433500
1910,"1917 - Immigration Act of 1917, also called Asiatic Barred Zone Act, further restricted immigration, particularly of people from a large swath of Asia and the Pacific Islands. The act also bars homosexuals, idiots, feeble-minded persons, ""criminals,"" insane persons, alcoholics, and other categories. In addition, the act sets a literacy standard for immigrants age 16 and older. They must be able to read a 40-word selection in their native language.
",5222,6105229,99736800
