year,uspop,immigrants,gdp
1820,9981000,8385,1257
1821,10299000,9127,
1822,10626000,6911,
1823,10951000,6354,
1824,11277000,7912,
1825,11602000,10199,
1826,11928000,10837,
1827,12251000,18875,
1828,12581000,27382,
1829,12906000,22520,
1830,13240000,23322,1376
1831,13659000,22633,
1832,14078000,60482,
1833,14496000,58640,
1834,14915000,65365,
1835,15334000,45374,
1836,15753000,76242,
1837,16171000,79340,
1838,16591000,38914,
1839,17009000,68069,
1840,17444000,84066,1588
1841,18056000,80289,
1842,18667000,104565,
1843,19279000,52496,
1844,19890000,78615,
1845,20503000,114371,
1846,21114000,154416,
1847,21726000,234968,
1848,22337000,226527,
1849,22950000,297024,
1850,23580000,369980,1806
1851,24405000,379466,
1852,25231000,371603,
1853,26157000,368645,
1854,26882000,427833,
1855,27708000,200877,
1856,28535000,200436,
1857,29360000,251306,
1858,30186000,123126,
1859,31012000,121282,
1860,31839000,153640,2178
1861,32678000,91918,
1862,33516000,91985,
1863,34355000,176282,
1864,35192000,193418,
1865,36031000,248120,
1866,36869000,318568,
1867,37708000,315722,
1868,38546000,138840,
1869,39385000,352768,
1870,40241000,387203,2445
1871,41098000,321350,2503
1872,42136000,404806,2541
1873,43174000,459803,2604
1874,44212000,313339,2527
1875,45245000,227498,2599
1876,46287000,169986,2570
1877,47325000,141857,2595
1878,48362000,138469,2646
1879,49400000,177826,2909
1880,50458000,457257,3184
1881,51743000,669431,3215
1882,53027000,788992,3338
1883,54311000,603322,3339
1884,55595000,518592,3320
1885,56879000,395346,3270
1886,58164000,334203,3294
1887,59448000,490109,3368
1888,60732000,546889,3282
1889,62016000,444427,3413
1890,63302000,455302,3392
1891,64612000,560319,3467
1892,65922000,579663,3728
1893,67231000,439730,3478
1894,68541000,285631,3314
1895,69851000,258536,3644
1896,71161000,343267,3504
1897,72471000,230832,3769
1898,73781000,229299,3780
1899,75091000,311715,4051
1900,76391000,448572,4091
1901,77888000,487918,4464
1902,79469000,648743,4421
1903,80946000,857046,4551
1904,82485000,812870,4410
1905,84147000,1026499,4642
1906,85770000,1100735,5079
1907,87339000,1285349,5065
1908,89055000,782870,4561
1909,90845000,751786,5017
1910,92767000,1041570,4964
1911,94234000,878587,5046
1912,95703000,838172,5201
1913,97606000,1197892,5301
1914,99505000,1218480,4799
1915,100941000,326700,4864
1916,102364000,298826,5459
1917,103817000,295403,5248
1918,104958000,110618,5659
1919,105473000,141132,5680
1920,106881000,430001,5552
1921,108964000,805228,5323
1922,110484000,309556,5540
1923,112387000,522919,6164
1924,114558000,706896,6233
1925,116284000,294314,6282
1926,117857000,304488,6602
1927,119502000,335175,6576
1928,120971000,307255,6569
1929,122245000,279678,6899
1930,123668000,241700,6213
1931,124633000,97139,5691
1932,125436000,35576,4908
1933,126180000,23068,4777
1934,126978000,29470,5114
1935,127859000,34956,5467
1936,128681000,36329,6204
1937,129464000,50244,6430
1938,130476000,67895,6126
1939,131539000,82998,6561
1940,132637000,70756,7010
1941,133922000,51776,8206
1942,135386000,28781,9741
1943,137272000,23725,11518
1944,138937000,28551,12333
1945,140474000,38119,11709
1946,141940000,108721,9197
1947,144688000,147292,8886
1948,147203000,170570,9065
1949,149770000,188317,8944
1950,152271000,249187,9561
1951,154878000,205717,10116
1952,157553000,265520,10316
1953,160184000,170434,10613
1954,163026000,208177,10359
1955,165931000,237790,10897
1956,168903000,321625,10914
1957,171984000,326867,10920
1958,174882000,253265,10631
1959,177830000,260686,11230
1960,180671000,265398,11328
1961,183691000,271344,11402
1962,186538000,283763,11905
1963,189242000,306260,12242
1964,191889000,292248,12773
1965,194303000,296697,13419
1966,196560000,323040,14134
1967,198712000,361972,14330
1968,200706000,454448,14863
1969,202677000,358579,15179
1970,205052000,373326,15030
1971,207661000,370478,15304
1972,209896000,384685,15944
1973,211909000,398515,16689
1974,213854000,393919,16491
1975,215973000,385378,16284
1976,218035000,499093,16975
1977,220239000,458755,17567
1978,222585000,589810,18373
1979,225055000,394244,18789
1980,227726000,524295,18577
1981,229966000,595014,18856
1982,232188000,533624,18325
1983,234307000,550052,18920
1984,236348000,541811,20123
1985,238466000,568149,20717
1986,240651000,600027,21236
1987,242804000,599889,21788
1988,245021000,641346,22499
1989,247342000,1090172,23059
1990,250132000,1535872,23201
1991,253493000,1826595,22849
1992,256894000,973445,23298
1993,260255000,903916,23616
1994,263436000,803993,24279
1995,266557000,720177,24603
1996,269667000,915560,25230
1997,272912000,797847,26052
1998,276115000,653206,26849
1999,279295000,644787,27735
2000,282158000,841002,28467
2001,284915000,1058902,28405
2002,287501000,1059356,28604
2003,289986000,703542,29074
2004,292806000,957883,29845
2005,295583000,1122257,30481
2006,298442000,1266129,31004
2007,301280000,1052415,31357
2008,304228000,1107126,31178
